dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.464064,2.458527,0.003333,0.333333,16.666667,833.333333,3.877791
0.020000,7.452126,2.447620,0.019504,0.808515,23.759100,354.621644,3.885897
0.020000,7.428588,2.425592,0.051741,1.611868,40.167647,820.427360,3.901814
0.020000,7.396963,2.394871,0.095831,2.204514,29.632282,-526.768259,3.923027
0.020000,7.363429,2.360851,0.143601,2.388470,9.197800,-1021.724089,3.945228
0.020000,7.330889,2.326373,0.191009,2.370419,-0.902568,-505.018378,3.966397
0.020000,7.299319,2.291511,0.238041,2.351621,-0.939887,-1.865983,3.986492
0.020000,7.268691,2.256330,0.284686,2.332237,-0.969211,-1.466169,4.005479
0.020000,7.238972,2.220895,0.330934,2.312412,-0.991222,-1.100544,4.023333
0.020000,7.210122,2.185265,0.376780,2.292279,-1.006670,-0.772398,4.040036
0.020000,7.182102,2.149494,0.422219,2.271948,-1.016541,-0.493567,4.055578
0.020000,7.154867,2.113633,0.467249,2.251516,-1.021604,-0.253161,4.069951
0.020000,7.128371,2.077730,0.511870,2.231060,-1.022810,-0.060308,4.083155
0.020000,7.102570,2.041827,0.556083,2.210640,-1.020997,0.090651,4.095193
0.020000,7.077415,2.005963,0.599889,2.190301,-1.016920,0.203848,4.106068
0.020000,7.052859,1.970176,0.643291,2.170078,-1.011181,0.286982,4.115787
0.020000,7.028856,1.934499,0.686291,2.149987,-1.004523,0.332886,4.124358
0.020000,7.005360,1.898964,0.728891,2.130038,-0.997439,0.354199,4.131789
0.020000,6.982324,1.863600,0.771096,2.110230,-0.990399,0.352017,4.138088
0.020000,6.959704,1.828436,0.812907,2.090555,-0.983778,0.331031,4.143263
0.020000,6.937457,1.793498,0.854327,2.070998,-0.977866,0.295590,4.147320
0.020000,6.915540,1.758811,0.895358,2.051538,-0.972979,0.244358,4.150265
0.020000,6.893913,1.724400,0.936001,2.032152,-0.969284,0.184752,4.152102
0.020000,6.872535,1.690289,0.976257,2.012814,-0.966920,0.118224,4.152834
0.020000,6.851369,1.656502,1.016127,1.993494,-0.965971,0.047435,4.152463
0.020000,6.830377,1.623061,1.055610,1.974165,-0.966472,-0.025043,4.150986
0.020000,6.809523,1.589991,1.094706,1.954797,-0.968397,-0.096255,4.148403
0.020000,6.788775,1.557315,1.133414,1.935363,-0.971690,-0.164664,4.144710
0.020000,6.768098,1.525056,1.171730,1.915839,-0.976237,-0.227334,4.139901
0.020000,6.747463,1.493237,1.209654,1.896202,-0.981848,-0.280575,4.133970
0.020000,6.726838,1.461884,1.247183,1.876436,-0.988294,-0.322260,4.126909
0.020000,6.706196,1.431020,1.284314,1.856530,-0.995274,-0.349033,4.118711
0.020000,6.685510,1.400669,1.321043,1.836482,-1.002404,-0.356511,4.109368
0.020000,6.664755,1.370857,1.357369,1.816297,-1.009274,-0.343487,4.098871
0.020000,6.643907,1.341607,1.393289,1.795989,-1.015402,-0.306408,4.087213
0.020000,6.622943,1.312943,1.428801,1.775586,-1.020126,-0.236184,4.074391
0.020000,6.601842,1.284890,1.463903,1.755130,-1.022788,-0.133090,4.060399
0.020000,6.580586,1.257471,1.498597,1.734677,-1.022665,0.006143,4.045238
0.020000,6.559155,1.230708,1.532883,1.714297,-1.018983,0.184111,4.028914
0.020000,6.537534,1.204622,1.566764,1.694081,-1.010799,0.409197,4.011434
0.020000,6.515705,1.179234,1.600247,1.674136,-0.997286,0.675630,3.992814
0.020000,6.493653,1.154560,1.633339,1.654585,-0.977537,0.987480,3.973078
0.020000,6.471365,1.130617,1.666050,1.635571,-0.950687,1.342464,3.952255
0.020000,6.448826,1.107417,1.698395,1.617251,-0.916031,1.732838,3.930386
0.020000,6.426023,1.084973,1.730391,1.599791,-0.872989,2.152080,3.907519
0.020000,6.402941,1.063292,1.762059,1.583372,-0.820954,2.601752,3.883713
0.020000,6.379567,1.042380,1.793422,1.568172,-0.759963,3.049536,3.859040
0.020000,6.355887,1.022239,1.824509,1.554371,-0.690097,3.493289,3.833578
0.020000,6.331884,1.002870,1.855352,1.542134,-0.611822,3.913749,3.807417
0.020000,6.307545,0.984271,1.885984,1.531615,-0.525943,4.293996,3.780654
0.020000,6.282853,0.966437,1.916443,1.522943,-0.433631,4.615555,3.753397
0.020000,6.257791,0.949365,1.946767,1.516204,-0.336936,4.834773,3.725754
0.020000,6.233794,0.933949,1.975290,1.426114,-4.504476,-208.376986,3.699425
0.020000,6.214541,0.922215,1.997837,1.127353,-14.938080,-521.680197,3.678472
0.020000,6.203081,0.915489,2.011124,0.664361,-23.149586,-410.575307,3.666094
0.020000,6.198802,0.913027,2.016061,0.246870,-20.874558,113.751371,3.661492
0.020000,6.198101,0.912626,2.016869,0.040405,-10.323245,527.565648,3.660739
0.020000,6.198101,0.912626,2.016869,0.000000,-2.020248,415.149892,3.660739
